iter	Passed	Remaining
0	57	57145
1	57	28694
2	57	19204
3	58	14455
4	58	11610
5	58	9713
6	59	8374
7	59	7354
8	59	6570
9	59	5934
10	60	5417
11	60	4988
12	60	4623
13	61	4309
14	61	4039
15	61	3804
16	62	3594
17	62	3412
18	62	3247
19	63	3096
20	63	2958
21	63	2834
22	64	2720
23	64	2617
24	64	2520
25	64	2433
26	65	2351
27	65	2274
28	65	2203
29	66	2138
30	66	2076
31	66	2017
32	66	1962
33	67	1910
34	67	1861
35	67	1815
36	68	1773
37	68	1735
38	68	1697
39	69	1661
40	69	1626
41	69	1593
42	70	1561
43	70	1530
44	70	1500
45	70	1472
46	71	1444
47	71	1417
48	71	1392
49	72	1368
50	72	1345
51	72	1322
52	72	1301
53	73	1280
54	73	1260
55	73	1240
56	73	1222
57	74	1203
58	74	1187
59	74	1171
60	75	1155
61	75	1140
62	75	1126
63	76	1112
64	76	1098
65	76	1084
66	76	1071
67	77	1058
68	77	1046
69	77	1033
70	78	1022
71	78	1010
72	78	999
73	78	987
74	79	978
75	79	967
76	79	957
77	80	947
78	80	938
79	80	928
80	81	919
81	81	909
82	81	899
83	81	890
84	81	882
85	82	874
86	82	865
87	82	857
88	83	849
89	83	842
90	83	834
91	83	827
92	84	820
93	84	813
94	84	806
95	84	799
96	85	792
97	85	786
98	85	780
99	86	774
100	86	767
101	86	761
102	86	756
103	87	750
104	87	744
105	87	739
106	87	733
107	88	728
108	88	723
109	88	717
110	88	712
111	89	707
112	89	702
113	89	697
114	90	692
115	90	687
116	90	682
117	90	678
118	90	673
119	91	669
120	91	664
121	91	660
122	91	655
123	92	651
124	92	647
125	92	643
126	92	638
127	93	635
128	93	631
129	93	628
130	94	624
131	94	620
132	94	616
133	94	612
134	95	609
135	95	605
136	95	602
137	95	598
138	96	595
139	96	592
140	96	589
141	96	585
142	97	581
143	97	578
144	97	575
145	97	572
146	98	569
147	98	566
148	98	563
149	98	560
150	99	557
151	99	555
152	99	552
153	100	550
154	100	547
155	100	544
156	100	542
157	101	539
158	101	537
159	101	534
160	101	531
161	102	528
162	102	526
163	102	523
164	103	521
165	103	518
166	103	516
167	103	513
168	104	511
169	104	509
170	104	507
171	104	505
172	105	503
173	105	501
174	105	499
175	106	497
176	106	495
177	106	493
178	107	492
179	107	490
180	107	487
181	108	485
182	108	483
183	108	481
184	108	479
185	109	477
186	109	475
187	109	473
188	109	472
189	110	470
190	110	468
191	110	466
192	111	464
193	111	462
194	111	461
195	111	459
196	112	457
197	112	455
198	112	453
199	113	452
200	113	450
201	113	448
202	113	447
203	114	446
204	114	444
205	114	442
206	115	440
207	115	439
208	115	437
209	116	436
210	116	435
211	116	433
212	117	432
213	117	430
214	117	429
215	118	428
216	118	426
217	118	425
218	118	424
219	119	422
220	119	421
221	119	419
222	120	418
223	120	416
224	120	415
225	120	413
226	121	412
227	121	411
228	121	409
229	121	408
230	122	406
231	122	405
232	122	403
233	122	402
234	123	400
235	123	399
236	123	398
237	124	397
238	124	395
239	124	394
240	124	393
241	125	391
242	125	391
243	125	390
244	126	389
245	126	387
246	126	386
247	127	385
248	127	383
249	127	382
250	127	381
251	128	380
252	128	379
253	128	377
254	129	378
255	130	377
256	130	376
257	130	375
258	130	374
259	131	373
260	131	372
261	132	372
262	132	371
263	132	370
264	133	369
265	133	367
266	133	366
267	133	365
268	134	364
269	134	363
270	134	362
271	134	361
272	135	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	354
278	136	353
279	137	352
280	137	351
281	137	350
282	137	349
283	138	347
284	138	346
285	138	345
286	138	344
287	139	343
288	139	342
289	139	341
290	139	340
291	140	339
292	140	339
293	140	338
294	141	337
295	141	336
296	141	335
297	142	334
298	142	333
299	142	332
300	142	331
301	143	330
302	143	329
303	143	328
304	143	327
305	144	326
306	144	326
307	144	325
308	145	324
309	145	323
310	145	323
311	146	322
312	146	321
313	146	320
314	146	319
315	147	318
316	147	317
317	147	317
318	148	316
319	148	315
320	148	314
321	148	313
322	149	312
323	149	311
324	149	310
325	149	309
326	150	309
327	150	308
328	150	307
329	151	306
330	151	305
331	151	305
332	151	304
333	152	303
334	152	303
335	153	302
336	153	301
337	153	301
338	153	300
339	154	299
340	154	298
341	154	298
342	155	297
343	155	296
344	155	295
345	155	294
346	156	293
347	156	293
348	156	292
349	157	291
350	157	290
351	157	290
352	157	289
353	158	288
354	158	287
355	158	286
356	158	286
357	159	285
358	159	284
359	159	284
360	160	283
361	160	283
362	160	282
363	161	281
364	161	280
365	161	280
